state,aqi,density
Pahang,32.1,0.0226808782292867
Pahang,32.69,0.0225050879895659
Pahang,33.29,0.0223432341804334
Pahang,33.89,0.0221953971868399
Pahang,34.49,0.0220327483251729
Pahang,35.09,0.0218102616903921
Pahang,35.68,0.0214864886491794
Pahang,36.28,0.0210492889607256
Pahang,36.88,0.0205315984243741
Pahang,37.48,0.0199988511848913
Pahang,38.08,0.0195144477580126
Pahang,38.67,0.0191115894323877
Pahang,39.27,0.0187896868992114
Pahang,39.87,0.0185272983632101
Pahang,40.47,0.018294339037474
Pahang,41.07,0.0180584635691265
Pahang,41.66,0.01779197561603
Pahang,42.26,0.0174816185645292
Pahang,42.86,0.0171335582929901
Pahang,43.46,0.0167670699910753
Pahang,44.06,0.01640205782138
Pahang,44.65,0.0160502070249611
Pahang,45.25,0.0157124020502295
Pahang,45.85,0.0153805730161156
Pahang,46.45,0.0150465141822248
Pahang,47.05,0.0147229296085765
Pahang,47.64,0.0144778930039148
Pahang,48.24,0.0144753041963001
Pahang,48.84,0.014994134440405
Pahang,49.44,0.0163705746668886
Pahang,50.04,0.0188175005396115
Pahang,50.63,0.0221791882884468
Pahang,51.23,0.0258169748716918
Pahang,51.83,0.0288102500119618
Pahang,52.43,0.0304104088174998
Pahang,53.03,0.0304192142125592
Pahang,53.62,0.0292027731372845
Pahang,54.22,0.0273809281662408
Pahang,54.82,0.025473689676629
Pahang,55.42,0.0237274726115687
Pahang,56.02,0.0221484904682941
Pahang,56.61,0.0206429158772106
Pahang,57.21,0.0191412226859063
Pahang,57.81,0.017640191480034
Pahang,58.41,0.0161782607470427
Pahang,59.01,0.0147959006990716
Pahang,59.6,0.0135135539787064
Pahang,60.2,0.0123331512823327
Pahang,60.8,0.0112532830029877
Pahang,61.4,0.0102789725184843
Pahang,61.99,0.0094154394653992
Pahang,62.59,0.0086559884332162
Pahang,63.19,0.0079799933888897
Pahang,63.79,0.0073630439701437
Pahang,64.39,0.0067889688789851
Pahang,64.98,0.0062543985201915
Pahang,65.58,0.0057640445593957
Pahang,66.18,0.0053212731694638
Pahang,66.78,0.0049214886430261
Pahang,67.38,0.0045528990994716
Pahang,67.97,0.0042022715566219
Pahang,68.57,0.0038613351831807
Pahang,69.17,0.0035327411288669
Pahang,69.77,0.0032323650441221
Pahang,70.37,0.0029811803075043
Pahang,70.96,0.0027887924120315
Pahang,71.56,0.0026429652450599
Pahang,72.16,0.0025154658730521
Pahang,72.76,0.0023795567290306
Pahang,73.36,0.0022259763387242
Pahang,73.95,0.0020660049671844
